LRat1,LRat2,LVar1,LVar2,Part,RRat1,RRat2,RVar1,RVar2,choice,choiceTime,endTime,frame,leftId,primerSound,rightId,trial,trialEnd,trialOnset,trialOnsetTim,trialRespTime,trialSnd1Tim,trialSnd2Tim,trialThinkTime
3.0,2.0,,,0,2.0,3.0,,,-1.0,8.83377945500024,,1.0,2.0,2.0,6.0,50.0,18.015883265999943,844.7060483160001,0.013887707999856502,8.51502015699998,1.0525028479996763,1.5537227079998956,3.5141640859997096
3.0,2.0,,,0,2.0,3.0,,,-1.0,8.013790243000129,,1.0,2.0,1.0,6.0,51.0,16.01315258900013,862.7278388520001,0.014118664999841712,7.511843066999972,1.049659797999993,1.5509683919999588,3.511189558999831
1.0,4.0,,,0,3.0,2.0,,,-1.0,7.899773457000265,,2.0,5.0,2.0,2.0,52.0,16.015828462999707,878.7437202510002,0.01346345999991172,7.514821136000137,1.0528306369997154,1.5530418979997194,3.5139462359998106
4.0,1.0,,,0,3.0,2.0,,,1.0,8.800348017000033,,2.0,1.0,1.0,2.0,53.0,18.015813034000075,894.7621296569998,0.013516624999738271,8.515000862999841,1.052424372999667,1.553719543999705,3.51345526599971
3.0,2.0,,,0,2.0,3.0,,,-1.0,9.017013889999816,,1.0,2.0,2.0,6.0,54.0,18.000268839,912.780702743,0.013847425000221849,8.515397697000028,1.0533147440000905,1.5548185650000048,3.5141654160001963
3.0,2.0,,,0,4.0,1.0,,,1.0,6.867220680999707,,1.0,2.0,2.0,1.0,55.0,14.015772218000164,930.783141966,0.013617424000130995,6.514964321000207,1.0525412070001041,1.5537662830001864,3.514160617000016
2.0,3.0,,,0,4.0,1.0,,,1.0,6.882950008000081,,1.0,6.0,1.0,1.0,56.0,14.015220304000197,944.8015782760001,0.014305025999874488,6.514771860000111,1.05313278299991,1.5542702180000558,3.5137672350001594
2.0,3.0,,,0,4.0,1.0,,,-1.0,8.766927316999954,,1.0,6.0,2.0,1.0,57.0,18.01634732499997,958.8194440780001,0.01387540599989734,8.515773599999648,1.0538952609999797,1.5550488519997998,3.5143805179995984
1.0,4.0,,,0,4.0,1.0,,,1.0,7.016296410999986,,1.0,5.0,1.0,1.0,58.0,14.01583308599993,976.8386559219999,0.014059419000204798,6.514938836000057,1.0531331639999737,1.5544229000001906,3.5139565210001815
2.0,3.0,,,0,4.0,1.0,,,-1.0,6.882696987000145,,2.0,6.0,1.0,1.0,59.0,14.016521876999832,990.85666888,0.01410423700008323,6.515193287999864,1.0537257239998326,1.55500991100007,3.5144045540000666
4.0,1.0,,,0,2.0,3.0,,,-1.0,8.849071768000158,,1.0,1.0,2.0,6.0,60.0,18.016214611000127,1004.8756205689999,0.014443185000345691,8.514875576000122,1.0532465710002723,1.5545247030004248,3.5138250770000923
3.0,2.0,,,0,1.0,4.0,,,-1.0,7.049795670000094,,2.0,2.0,2.0,5.0,61.0,14.015419167000346,1022.894287877,0.014108897000369325,6.514682266000364,1.0529622830003973,1.554188828000406,3.5137345279999863
2.0,3.0,,,0,1.0,4.0,,,-1.0,8.95051278300025,,1.0,6.0,2.0,5.0,62.0,18.016919607999625,1036.9122715320002,0.013788283999929265,8.515393114999824,1.0535610229999293,1.5548535999996602,3.5142656329999227
3.0,2.0,,,0,2.0,3.0,,,1.0,7.882002865000231,,2.0,2.0,2.0,6.0,63.0,16.01541235600007,1054.9318506480001,0.014547805999882256,7.514698053999838,1.0533183219999955,1.5545229720000862,3.5138550400001805
3.0,2.0,,,0,2.0,3.0,,,1.0,7.013948341000288,,2.0,2.0,2.0,6.0,64.0,14.01309967599991,1070.9528299280003,0.014485240999874803,6.5119067769996954,1.050375482999698,1.5517016599997078,3.511181042999852
4.0,1.0,,,0,2.0,3.0,,,1.0,9.066049582000232,,2.0,1.0,2.0,6.0,65.0,18.015846724999847,1084.968918401,0.013740696999775535,8.514825702000053,1.05260312900009,1.5538227779998124,3.5133113990000315
1.0,4.0,,,0,4.0,1.0,,,-1.0,6.9126721530001305,,2.0,5.0,1.0,1.0,66.0,14.01212042799989,1102.9906648,0.013343510999675344,6.5112194769999405,1.0490407239999513,1.5502445769998303,3.51050898199992
4.0,1.0,,,0,2.0,3.0,,,1.0,7.983110705999933,,2.0,1.0,1.0,6.0,67.0,16.015861527999732,1117.0055944940002,0.015760217999741144,7.514967307999996,1.0531949989999705,1.554475909999837,3.5141812309998386
1.0,4.0,,,0,4.0,1.0,,,-1.0,9.213631661000363,,2.0,5.0,2.0,1.0,68.0,18.012869388000126,1133.027283521,0.01416172000017468,8.512162630000148,1.0502052550000371,1.5514870690003593,3.511131576000025
2.0,3.0,,,0,3.0,2.0,,,1.0,8.583331700000143,,2.0,6.0,1.0,2.0,69.0,16.000010835999998,1151.042720835,0.014115387000401824,7.515335538000272,1.0541293290002614,1.5553252770000654,3.5146991670003445
3.0,2.0,,,0,4.0,1.0,,,1.0,7.3334885320000485,,1.0,2.0,2.0,1.0,70.0,14.015103635999823,1167.0455127890002,0.013783821999822976,6.5136756279998735,1.0524348189997,1.5537348259999817,3.513353628999994
2.0,3.0,,,0,3.0,2.0,,,1.0,8.083981857999788,,1.0,6.0,1.0,2.0,71.0,16.00037055299981,1181.062858521,0.014427214000079402,7.515257913999902,1.0537145429998418,1.5542263389997968,3.5149039620000617
4.0,1.0,,,0,2.0,3.0,,,-1.0,8.785184365000077,,1.0,1.0,1.0,6.0,72.0,18.001994212000227,1202.079814123,0.013623181000184559,8.501094906000162,1.0559094430000189,1.5571886030002131,3.5001265149999203
4.0,1.0,,,0,3.0,2.0,,,-1.0,6.900440754000101,,1.0,1.0,1.0,2.0,73.0,14.016387688999655,1220.084351965,0.013412326999969082,6.515512526999828,1.0533681169999909,1.554629373999887,3.514715129999786
4.0,1.0,,,0,3.0,2.0,,,-1.0,9.050459094999953,,1.0,1.0,1.0,2.0,74.0,18.000105460999745,1234.103066752,0.013750918999903659,8.51514819499971,1.0527558869998757,1.553968303000147,3.5143609609999658
3.0,2.0,,,0,4.0,1.0,,,1.0,9.095818061000044,,1.0,2.0,1.0,1.0,75.0,18.012735369999973,1252.1091539400004,0.012965605000317735,8.511721967000085,1.0491358770000259,1.5504348190002017,3.5103369860003117
1.0,4.0,,,0,2.0,3.0,,,-1.0,8.983096186000239,,2.0,5.0,1.0,6.0,76.0,18.015868149000198,1270.124753461,0.013497325000116687,8.514570912000181,1.0524494610003785,1.5537355210003625,3.5134892990004123
3.0,2.0,,,0,1.0,4.0,,,-1.0,6.8168887320002804,,1.0,2.0,2.0,5.0,77.0,14.015061315999901,1288.1434950660002,0.01408284499984802,6.514306547999696,1.0522897129999365,1.5536045869998816,3.5138960019999104
2.0,3.0,,,0,3.0,2.0,,,-1.0,6.9997081000001335,,2.0,6.0,1.0,2.0,78.0,14.016694821999865,1302.1609002880002,0.013903715999731505,6.515099825999641,1.05361654599983,1.5548181770000156,3.5145467879997336
1.0,4.0,,,0,2.0,3.0,,,1.0,6.8619596240000655,,1.0,5.0,1.0,6.0,79.0,14.01210213000013,1316.183576104,0.014714320000166481,6.510718961000293,1.0492454840000391,1.5505300580002768,3.5102231500000016
4.0,1.0,,,0,1.0,4.0,,,-1.0,7.900031772000147,,1.0,1.0,1.0,5.0,80.0,16.015777657999934,1330.1982160200002,0.013493336000010459,7.5142863599999155,1.0532691529997464,1.554541423000046,3.5139420020000216
1.0,4.0,,,0,2.0,3.0,,,1.0,6.9164911399998354,,1.0,5.0,2.0,6.0,81.0,14.015785380000125,1346.216819338,0.01381021299994245,6.514752147999843,1.052696590999858,1.5540886129997489,3.5137369919998487
4.0,1.0,,,0,3.0,2.0,,,1.0,8.849794419999851,,2.0,1.0,2.0,2.0,82.0,18.016091133999904,1360.235474241,0.0136457009998594,8.514835993999895,1.0527850520002175,1.5539254830000573,3.513624121000248
3.0,2.0,,,0,1.0,4.0,,,1.0,8.062956647999728,,2.0,2.0,2.0,5.0,83.0,16.01199350700017,1378.257814622,0.01397984900040683,7.511224936000417,1.0490985460000957,1.5502934860001003,3.5099499370003286
1.0,4.0,,,0,3.0,2.0,,,-1.0,9.183215159000156,,2.0,5.0,2.0,2.0,84.0,18.0159310060003,1394.272747049,0.014683822000279182,8.515009423000263,1.0529529620002904,1.5542035260000375,3.513697892999972
2.0,3.0,,,0,1.0,4.0,,,1.0,8.033356446999733,,2.0,6.0,2.0,5.0,85.0,16.016034364000006,1412.2917112629998,0.014601757000036741,7.514827938000053,1.0529528100000791,1.5544644279998463,3.5139635809996435
4.0,1.0,,,0,2.0,3.0,,,-1.0,7.699111062999692,,1.0,1.0,2.0,6.0,86.0,16.014959992000062,1428.310632116,0.014196272999924988,7.514434482000071,1.0526294699998289,1.5539945270002136,3.5135375949998884
3.0,2.0,,,0,4.0,1.0,,,-1.0,7.966362026000298,,2.0,2.0,2.0,1.0,87.0,16.0162188270001,1444.328209335,0.014028010999936669,7.515587407000113,1.0710387459998856,1.572197603999939,3.514510593000068
2.0,3.0,,,0,1.0,4.0,,,1.0,9.063469302000158,,1.0,6.0,2.0,5.0,88.0,18.01263270699974,1460.3506106139998,0.014116151000052925,8.511735124999634,1.0498412389997611,1.5512001339998278,3.5106288570000292
4.0,1.0,,,0,3.0,2.0,,,-1.0,8.100834647999816,,1.0,1.0,2.0,2.0,89.0,16.016027944000143,1478.365825222,0.01332651899974735,7.514922379999916,1.0532420399999864,1.5545384890001517,3.5144305929998154
1.0,4.0,,,0,2.0,3.0,,,1.0,6.963508338000338,,1.0,5.0,2.0,6.0,90.0,14.0130168820001,1494.387681894,0.01475683900025615,6.511874271000124,1.0504503360002673,1.5516733050003495,3.5111933040002437
4.0,1.0,,,0,1.0,4.0,,,1.0,6.916275594999662,,2.0,1.0,2.0,5.0,91.0,14.015290780000214,1508.4033464689999,0.013721223000175087,6.514570342000297,1.0527312359999996,1.5539849159999903,3.5137222630000906
4.0,1.0,,,0,3.0,2.0,,,1.0,6.983499771999959,,2.0,1.0,1.0,2.0,92.0,14.015715907000413,1522.42140611,0.012831194000227695,6.514812823000285,1.0533408539999982,1.5546208560003834,3.5143500180001865
1.0,4.0,,,0,4.0,1.0,,,-1.0,9.14936971599991,,1.0,5.0,1.0,1.0,93.0,16.016160301000127,1536.4401612620002,0.013901927000006252,7.514759286000298,1.0530976230002125,1.5542914500001643,3.50410111400015
3.0,2.0,,,0,1.0,4.0,,,1.0,6.981859707999773,,2.0,2.0,1.0,5.0,94.0,14.01481196399982,1552.4593447089999,0.013807377999910386,6.513819270000112,1.051953250999759,1.5531766649996823,3.5131380449997778
1.0,4.0,,,0,3.0,2.0,,,1.0,7.867145190999963,,1.0,5.0,1.0,2.0,95.0,16.016262996000027,1566.4766512029998,0.014420510000036304,7.515020550999907,1.053448944000138,1.5547797019999052,3.5142585960002184
