LRat1,LRat2,LVar1,LVar2,Part,RRat1,RRat2,RVar1,RVar2,choice,choiceTime,endTime,frame,leftId,part,primerSound,rightId,trial,trialEnd,trialOnset,trialOnsetTim,trialRespTime,trialSnd1Tim,trialSnd2Tim,trialThinkTime
1.5,2.5,0.7071067811865476,0.7071067811865476,0,1.5,3.0,0.7071067811865476,0.7071067811865476,-1.0,3.846629510000639,,2.0,2.0,0.0,1.0,5.0,16.0,12.012857482999609,389.27708305000033,0.007576072000119893,3.5116403230003925,1.0500343029998476,1.5513036109996392,3.511270916000285
4.0,1.5,0.0,0.0,0,1.5,2.5,0.7071067811865476,0.7071067811865476,1.0,6.3327398470000835,,2.0,1.0,0.0,1.0,2.0,17.0,10.01533238400043,412.82699132800013,0.007084304000272823,3.5147871740000483,1.0523847580006986,1.5536796700007471,3.51430689100016
1.5,2.5,0.7071067811865476,0.7071067811865476,0,2.5,3.0,0.7071067811865476,0.7071067811865476,-1.0,4.979938925999704,,2.0,2.0,0.0,1.0,6.0,18.0,11.012586206999913,454.46870296,0.007034220000605274,3.5112227549998347,1.0499961949999488,1.5512715089998892,3.510648974000105
1.5,3.0,0.7071067811865476,0.7071067811865476,0,2.5,3.0,0.7071067811865476,0.7071067811865476,-1.0,3.83328216100017,,2.0,5.0,0.0,1.0,6.0,19.0,10.015409533999446,465.4830022619999,0.007388494000224455,3.515112547000172,1.05378944199947,1.5551114909994794,3.5145737289994936
1.5,3.0,0.7071067811865476,0.7071067811865476,0,1.5,2.5,0.7071067811865476,0.7071067811865476,1.0,3.817101392999575,,2.0,5.0,0.0,1.0,2.0,20.0,10.016384534999817,498.5698222330002,0.007151539999540545,3.515233287999763,1.0375656910000544,1.5388073220001388,3.5148671420001847
1.5,2.5,0.7071067811865476,0.7071067811865476,0,1.5,3.0,0.7071067811865476,0.7071067811865476,-1.0,3.831120798000484,,2.0,2.0,0.0,2.0,5.0,21.0,10.01220524600012,508.5909746799999,0.007548662999397494,3.5123677849996966,1.051187445999858,1.5523479069997848,3.5119122569994943
1.5,3.0,0.7071067811865476,0.7071067811865476,0,2.5,3.0,0.7071067811865476,0.7071067811865476,-1.0,6.0178570230000314,,2.0,5.0,0.0,2.0,6.0,22.0,11.000156777000484,518.6048973289999,0.007029322000562388,3.516051324000728,1.038421871000537,1.539649207999901,3.5156843210006627
2.5,3.0,0.7071067811865476,0.7071067811865476,0,1.5,3.0,0.7071067811865476,0.7071067811865476,-1.0,3.830902388000141,,1.0,6.0,0.0,1.0,5.0,23.0,11.013441580000288,537.144125932,0.00667153300037171,3.5123354830002427,1.0514200550005626,1.5526571280006465,3.5119713849999243
4.0,1.5,0.0,0.0,0,1.5,3.0,0.7071067811865476,0.7071067811865476,-1.0,3.847872543999984,,1.0,1.0,0.0,2.0,5.0,0.0,10.01327194500027,170.61739928400038,0.007505041000513302,3.5127084949999703,1.0518266110002514,1.5530712720001247,3.5123446050001803
1.5,2.5,0.7071067811865476,0.7071067811865476,0,4.0,1.5,0.0,0.0,1.0,3.850275951000185,,1.0,2.0,0.0,1.0,1.0,1.0,10.000030645000152,180.63208328400012,0.0073812489999909294,3.5158706020001773,1.0385724380003012,1.5398991310003112,3.5155283029998827
1.5,3.0,0.7071067811865476,0.7071067811865476,0,2.5,3.0,0.7071067811865476,0.7071067811865476,1.0,5.400903391000612,,1.0,5.0,0.0,1.0,6.0,2.0,12.00060552099967,190.63323236500042,0.00654654699974344,3.5161987920000684,1.0387354569993477,1.5400070879995835,3.515801495999767
1.5,3.0,0.7071067811865476,0.7071067811865476,0,2.5,3.0,0.7071067811865476,0.7071067811865476,1.0,3.800982742999622,,1.0,5.0,0.0,2.0,6.0,3.0,11.016555725999751,202.63502102200073,0.007172552999691106,3.5153723160001387,1.037916655000117,1.5391398109995862,3.5150082720001583
1.5,3.0,0.7071067811865476,0.7071067811865476,0,1.5,2.5,0.7071067811865476,0.7071067811865476,-1.0,3.8679220629992415,,1.0,5.0,0.0,2.0,2.0,4.0,11.000719660999492,225.18736046899997,0.006990015999690513,3.5161972059995605,1.0383947969994551,1.5400120529993728,3.5158320939999617
2.5,3.0,0.7071067811865476,0.7071067811865476,0,1.5,3.0,0.7071067811865476,0.7071067811865476,1.0,3.866475861999788,,2.0,6.0,0.0,1.0,5.0,5.0,11.015970383999958,247.72441843400063,0.007018842999968911,3.5151736839998198,1.0371827660001145,1.5383948939997936,3.514810120999755
1.5,3.0,0.7071067811865476,0.7071067811865476,0,4.0,1.5,0.0,0.0,-1.0,3.852275530999577,,2.0,5.0,0.0,1.0,1.0,6.0,11.001529252999715,263.75786988800064,0.00686698899971816,3.5167783630004124,1.0387068879999788,1.5399783960001514,3.516403307000473
2.5,3.0,0.7071067811865476,0.7071067811865476,0,4.0,1.5,0.0,0.0,-1.0,5.416920378999748,,2.0,6.0,0.0,1.0,1.0,7.0,10.015715000000457,274.7609361550003,0.007558635999885155,3.5154714740001514,1.0375084900006186,1.5387925499999255,3.5151027829997474
