trial,leftId,rightId,ratL,ratR,Frame,endTime,choice,choiceTime
45.0,11.0,29.0,10.0,1.0,1.0,7.0018447390029905,-1.0,1.653419569003745
46.0,29.0,12.0,1.0,49.0,1.0,7.001198929006932,1.0,2.0519319659942994
47.0,8.0,1.0,7.0,39.0,1.0,7.000972163004917,1.0,1.752837501000613
48.0,26.0,32.0,28.0,33.0,1.0,7.00110761000542,1.0,1.8370233530004043
49.0,1.0,15.0,39.0,36.0,1.0,7.0021702209924115,-1.0,2.102291117000277
50.0,19.0,26.0,10.0,28.0,1.0,7.001664224007982,1.0,1.7697903079970274
51.0,1.0,8.0,39.0,7.0,1.0,7.015868023998337,-1.0,1.3869005399901653
52.0,28.0,3.0,40.0,27.0,1.0,7.0017531310004415,-1.0,1.769414193011471
53.0,28.0,4.0,40.0,32.0,1.0,7.001830055989558,-1.0,1.7370339179906296
54.0,30.0,8.0,11.0,7.0,1.0,7.001238454991835,1.0,1.5019302260043332
55.0,32.0,12.0,33.0,49.0,1.0,7.00160106200201,1.0,2.1524604619917227
56.0,27.0,7.0,37.0,28.0,1.0,7.001790609996533,-1.0,1.5352276530029485
57.0,18.0,10.0,45.0,38.0,1.0,7.001257167998119,-1.0,1.736803970998153
58.0,16.0,15.0,15.0,36.0,1.0,7.0019918530015275,1.0,1.7686628909868887
59.0,19.0,7.0,10.0,28.0,1.0,7.0146659149904735,1.0,2.1851050359982764
60.0,3.0,28.0,27.0,40.0,2.0,7.013495359002263,-1.0,2.6364212579937885
61.0,19.0,26.0,10.0,28.0,2.0,7.001868792009191,-1.0,1.553244534006808
62.0,28.0,3.0,40.0,27.0,2.0,7.001397928004735,1.0,1.9541930359991966
63.0,15.0,16.0,36.0,15.0,2.0,7.001736746009556,-1.0,1.6023251050064573
64.0,11.0,18.0,10.0,45.0,2.0,7.001558613992529,-1.0,1.7854875269986223
65.0,29.0,12.0,1.0,49.0,2.0,7.001699945991277,-1.0,1.8846072400046978
66.0,27.0,9.0,37.0,26.0,2.0,7.00170890300069,1.0,1.5530945760110626
67.0,9.0,27.0,26.0,37.0,2.0,7.001773580996087,-1.0,1.8869133830012288
68.0,32.0,12.0,33.0,49.0,2.0,7.001153810997494,-1.0,1.6026296539930627
69.0,16.0,5.0,15.0,1.0,2.0,7.002097828997648,1.0,1.5710569780057995
